"species";"result";"ViltID";"Ankomstdatum";"coords.x1";"coords.x2"
"Ormvråk";"0";"VLT 47/17";"2017-01-10";"13.323689245704";"55.4858599616575"
"Gräsand";"0";"VLT 260/17";"2017-01-27";"17.0184679960662";"59.3620727669989"
"Sångsvan";"0";"VLT 1032/17";"2017-03-07";"18.2128510036541";"59.6001836147867"
"Kråka";"0";"VLT 1405/17";"2017-04-21";"12.8526385568224";"55.4080966113067"
"Sparvhök";"0";"VLT 1418/17";"2017-04-25";"17.6222154473619";"59.8774231799353"
"Kattuggla";"0";"VLT 1492/17";"2017-05-04";"14.0001882711598";"57.5715464046302"
"Kungsörn";"0";"VLT 1697/17";"2017-05-30";"12.6640551819684";"59.725505791357"
"Grönfink";"0";"VLT 2091/17";"2017-08-17";"17.9179271723538";"58.9498093561883"
"Skata";"0";"VLT 3043/17";"2017-12-06";"13.2275031171791";"55.7227147905263"
"Ormvråk";"0";"VLT 622/18, 3";"2018-03-28";"13.1022861598849";"55.6834411020558"
"Gräsand";"0";"VLT 1238/18";"2018-06-13";"12.982368398155";"55.5818957789577"
"Vit stork";"0";"VLT 1942/18";"2018-09-27";"18.5570478612071";"59.7762076095026"
"Koltrast";"0";"VLT 2064/18";"2018-10-15";"17.632198173913";"59.7888059756597"
"Grönfink";"0";"VLT 2480/18";"2018-11-28";"17.6922610811976";"63.1474895597973"
"Ringduva";"0";"VLT 2568/18";"2018-12-11";"12.9678092985237";"55.5761318528618"
"Gråtrut";"0";"VLT 74/19";"2019-01-22";"14.6803036606714";"56.1032701319907"
"Skata";"0";"VLT 637/19";"2019-04-02";"17.6335725017766";"59.7878800901817"
"Kungsörn";"0";"VLT 137/17";"2017-01-16";"18.4127639548702";"57.1127374758597"
"Ormvråk";"0";"VLT 275/17";"2017-01-31";"13.0511331957833";"56.1387020604847"
"Kaja";"0";"VLT 952/17";"2017-02-27";"16.5488579286943";"59.598985767994"
"Sparvhök";"0";"VLT 2471/17";"2017-09-19";"18.3586532598493";"60.2629152510205"
"Sparvhök";"0";"VLT 2810/17";"2017-10-25";"19.4790103717435";"64.9127141074881"
"Koltrast";"0";"VLT 2905/17";"2017-11-14";"18.1689841738237";"59.2039083204867"
"Stadsduva";"0";"VLT 624/18, 2";"2018-03-28";"13.029882172707";"55.5829816964667"
"Slaguggla";"0";"VLT 505/18";"2018-03-16";"16.7382393846165";"60.6462233059187"
"Hökuggla";"0";"VLT 209/17";"2017-01-20";"14.5186130021301";"59.7826364871861"
"Havsörn";"0";"VLT 319/17";"2017-02-06";"17.4536064762194";"60.603379044328"
"Havsörn";"0";"VLT 792/18";"2018-04-18";"15.0536677537901";"58.1930503796773"
"Grönfink";"0";"VLT 1333/18";"2018-07-04";"16.8554667641821";"61.185616275008"
"Gråtrut";"0";"VLT 1733/18";"2018-09-07";"14.2853952044414";"55.928370980604"
"Tornfalk";"0";"VLT 1930/18";"2018-09-27";"13.3984612456953";"55.5997630487165"
"Kattuggla";"0";"VLT 2349/18";"2018-11-15";"15.2297977319086";"59.2841233813037"
"Gråtrut";"0";"VLT 2412/18";"2018-11-21";"20.5523130912127";"63.9062949974456"
"Skata";"0";"VLT 108/19";"2019-01-23";"20.3108070173625";"63.8460402107138"
"Slaguggla";"0";"VLT 981/19";"2019-05-23";"20.297919400823";"63.8169898666572"
"Havsörn";"0";"VLT 919/19";"2019-05-16";"17.4610953419375";"59.2940985178917"
"Havsörn";"0";"VLT 1205/18";"2018-06-01";"14.7848252124392";"57.761830332581"
"Havsörn";"0";"VLT 321/19";"2019-02-12";"13.8878307211499";"59.3715523781895"
"Hökuggla";"0";"VLT 179/17";"2017-01-19";"15.3870865697424";"60.4620861177248"
